ticker,weight
CSCO,0.03030171721693
CRM,0.02832191173117
INTU,0.02873622041037
PDD,0.02845067695185
IBM,0.028581538953929998
UBER,0.0301988269872
MU,0.02463731976467
AMDV,0.02855306618062
TXN,0.029366447379079997
GOOGL,0.02992679290008
BABA,0.02896987348707
LRCX,0.02841512967106
MSFT,0.02825158236305
AMAT,0.02880860297586
NVDA,0.030016382903530002
ADBE,0.028639290124190003
ARM,0.02436305245314
PLTR,0.029829169808309998
NFLX,0.02919097997451
AVGO,0.03095301824221
TSLA,0.02779073635115
INTC,0.02957568134578
NOW,0.02836783318497
META,0.028308582514829997
ORCL,0.02884114180688
MSTR,0.021268330756120002
PANW,0.02777788575604
QCOM,0.02906830846366
SHOP,0.027828752023869998
AAPL,0.030276211683489998
TSM,0.029472273321559998
APP,0.02996123463633
BKNG,0.02860458879241
AMZN,0.028943829664759998
