ticker,weight
HON,0.00372581661417
DFS,0.00079841166667
FMC,0.00035151112080999996
EQT,0.00040145617009
NDSN,0.00035802423948
CRL,0.0002875959125
EPAM,0.00034501743481999997
CSCO,0.0057123157549299995
ALB,0.0007013174827
AIZ,0.00017910504736000002
CRM,0.005565420383500001
INTU,0.00346472834407
DOW,0.00100589044773
LHX,0.00100073434026
BLK,0.00278590724465
ZBRA,0.00040966877639
WBD,0.00074484033384
UPS,0.0034957752965900004
DG,0.0010010480891400001
XRAY,0.00023156641850999998
EQR,0.0006038762456099999
AME,0.00099921754499
AEP,0.00116102642535
GM,0.0014452415671400002
WDCL,0.00032554055289000004
CMCA,0.00014914190585999998
TDY,0.00051789487751
WELL,0.0010817964385200001
EXPD,0.0004979913930499999
GPC,0.00064199735252
MXB,0.00100742285171
CMG,0.00158591089938
VTRS,0.00032518288609
PROG,0.0020782714307
JKHY,0.00032705561278
POOL,0.00039229042957
AWK,0.00074050587918
VRTX,0.00243180242957
D,0.00115997102986
MDLZ,0.0026730842933600004
UNP,0.0033647003292
JNJ,0.01157439358525
O,0.0010831403622
MCD,0.00587354415523
NTAP,0.00044535801646000006
HES,0.0010137666993999999
UNH,0.01204104851382
CLX,0.00052810475419
TAP,0.00033071675583
PM,0.00406745605983
URI,0.00082788683584
IBM,0.0032695631613999998
VLO,0.00114111170199
APH,0.0013566058567100001
WFC,0.00430922396094
NTRS,0.00041527818188
NWSA,0.00020329184829000001
MPC,0.00133119121478
RVTY,0.00040321712703
NEE,0.00403995083676
HLT,0.00104223483338
UDR,0.00035297608119
GIS,0.001215068532
DRHI,0.00102174029283
PAYX,0.00096287352524
MRO,0.00039200480348
MKTX,0.00026291388828
SLB,0.00187507167532
ABBV,0.0064033530345099995
TSCO,0.0006560140019200001
UHSI,0.00027149651558
APD,0.0017826958666699998
VTR,0.00050818751699
TRMO,0.0054152116511600006
COST,0.00642074535732
EXPE,0.00041974262352
BFD,0.0003232527139
TER,0.00046672413453
