ticker,weight
IONS,0.01112240205175
TSVT,0.0031008333148900002
ARWR,0.011125400466710001
PTGX,0.01046244039819
RYTM,0.00567403878742
ALNY,0.010967964253610001
AVXL,0.00378130089621
RLAY,0.01044509878687
KURA,0.00277393861004
VRTX,0.011605784409910001
BCRX,0.009104955883019999
EXAS,0.01178311553461
ICPT,0.0060482843953400004
VERV,0.00596598977698
KROS,0.0037480252962400003
ANIK,0.00096837251542
CPRX,0.01274484676513
ABBV,0.010744503869299999
MYGN,0.0060327290403
INKT,8.6211469e-07
LYEL,0.0013721724498199999
DYN,0.0017495102354299998
CDMO,0.00378780215184
KDNY,0.01061207380855
BMRN,0.0104537807926
GERN,0.00564135811591
VRDN,0.00770115407252
SAGE,0.00865008429924
BEAM,0.01092330336941
MCRB,0.00491374536416
TVTX,0.01015308186338
VNDA,0.0019234873495599999
ANAB,0.0025018139468400004
SGEN,0.010786284986720001
ALEC,0.00132544748404
AGIO,0.006143417020610001
ARCT,0.00602983848842
NTLA,0.01039252702933
PNT,0.00235215376822
HTI,0.01170376462963
BLUE,0.007190684445949999
APLS,0.011152233292089999
BIIB,0.01016359669781
MDGL,0.00958519517828
IRWD,0.0102347039336
UTHR,0.01064709313158
ACAD,0.01067570700591
VKTX,0.0073597019298599995
RVMD,0.011528424081360001
MRNA,0.01086069472383
IOVA,0.0098319827469
MRSN,0.0014695179007
RXRX,0.00317515802709
CLDX,0.00925099681066
IMGN,0.00844135983911
TWST,0.01122901869153
ENTA,0.00261826730746
BTAI,0.00174613582896
DNLI,0.00972690375325
MRTX,0.01048243600589
SANA,0.0026545708833699997
AKRO,0.00980198443542
CERE,0.00745093188266
IPI,0.011238066676789999
KRYS,0.00827307551619
ADMA,0.0035206727924600003
FATE,0.00603026435842
AMGN,0.01118185609468
IDYA,0.00389578074409
KRTX,0.010495819775919998
RNA,0.008061236324549999
ALLK,0.0020433242387
REPL,0.00445859872474
VCYT,0.00822163039752
PCVX,0.01088358129531
BPMC,0.01191065743532
MORF,0.00988773869265
CDNA,0.0038663229684400002
BBIO,0.01184556750681
NUVL,0.00451034560892
KYMR,0.0065392345469599995
DVAX,0.0073181802430200005
DCPH,0.00431704864601
ACLX,0.006044997911020001
ISEE,0.01137184223344
SCLX,0.00508361515983
ITOS,0.00151956533949
ARDX,0.00938564914339
SRPT,0.009885258647
BMEA,0.0039876047892299996
ALDX,0.00281737282173
FGEN,0.0012999510125200002
RARE,0.00989279886373
INSM,0.010386480520729999
RAPT,0.0031715563224299997
RCUS,0.00808518766324
ARQT,0.006319233987500001
VIR,0.01014378767645
VCEL,0.00465710849134
COGT,0.00323868826899
EBS,0.005670873304400001
NTRA,0.01108337309844
NBIX,0.011126604550029999
EXEL,0.01096756262199
EDIT,0.006278683105340001
CRNX,0.00330282101979
CYTK,0.00970703338435
INBX,0.00455197397997
REGN,0.01060469263369
NRIX,0.0015162903611
SNDX,0.00930820161048
RGNX,0.0041638256778499996
IMVT,0.00633203384163
DAWN,0.00460736563689
RCKT,0.00614343324664
EQRX,0.0015290759965100001
FOLD,0.01080403558263
ETNB,0.01010004886503
PTCT,0.010422215493789999
NVAX,0.010960148715339998
SWTX,0.00837674445563
FDMT,0.0038002372468099997
MIRM,0.00397830408083
XNCR,0.00394059960965
ALLO,0.005034653843230001
AGEN,0.0030517869795199997
GILD,0.01087122051395
MNKD,0.006394195033209999
ZNTL,0.00938943710854
