ticker,permno,secid
NBIX,83534,108076.0
ABBV,13721,160586.0
UTHR,87006,111462.0
GILD,77274,105243.0
IPI,92621,136197.0
BMRN,87056,102164.0
AMGN,14008,101508.0
NTRA,15534,207586.0
MRNA,18312,213392.0
BIIB,76841,105894.0
SRPT,85002,100958.0
ALNY,90178,121543.0
EXAS,88863,114695.0
INSM,88351,106147.0
VRTX,76744,111683.0
REGN,76614,109538.0
HTI,90436,116763.0
BPMC,15284,207098.0
PCVX,19484,214350.0
IONS,76661,106469.0
