secid,date,spot_price,ticker
109820.0,2022-01-03,477.71,SPY
109820.0,2022-01-04,477.55,SPY
109820.0,2022-01-05,468.38,SPY
109820.0,2022-01-06,467.94,SPY
109820.0,2022-01-07,466.09,SPY
109820.0,2022-01-10,465.51,SPY
109820.0,2022-01-11,469.75,SPY
109820.0,2022-01-12,471.02,SPY
109820.0,2022-01-13,464.53,SPY
109820.0,2022-01-14,464.72,SPY
109820.0,2022-01-18,456.49,SPY
109820.0,2022-01-19,451.75,SPY
109820.0,2022-01-20,446.75,SPY
109820.0,2022-01-21,437.98,SPY
109820.0,2022-01-24,439.84,SPY
109820.0,2022-01-25,434.47,SPY
109820.0,2022-01-26,433.38,SPY
109820.0,2022-01-27,431.24,SPY
109820.0,2022-01-28,441.95,SPY
109820.0,2022-01-31,449.91,SPY
109820.0,2022-02-01,452.95,SPY
109820.0,2022-02-02,457.35,SPY
109820.0,2022-02-03,446.6,SPY
109820.0,2022-02-04,448.7,SPY
109820.0,2022-02-07,447.26,SPY
109820.0,2022-02-08,450.94,SPY
109820.0,2022-02-09,457.54,SPY
109820.0,2022-02-10,449.32,SPY
109820.0,2022-02-11,440.46,SPY
109820.0,2022-02-14,439.02,SPY
109820.0,2022-02-15,446.1,SPY
109820.0,2022-02-16,446.6,SPY
109820.0,2022-02-17,437.06,SPY
109820.0,2022-02-18,434.23,SPY
109820.0,2022-02-22,429.57,SPY
109820.0,2022-02-23,421.95,SPY
109820.0,2022-02-24,428.3,SPY
109820.0,2022-02-25,437.75,SPY
109820.0,2022-02-28,436.63,SPY
109820.0,2022-03-01,429.98,SPY
109820.0,2022-03-02,437.89,SPY
109820.0,2022-03-03,435.71,SPY
109820.0,2022-03-04,432.17,SPY
109820.0,2022-03-07,419.43,SPY
109820.0,2022-03-08,416.25,SPY
109820.0,2022-03-09,427.41,SPY
109820.0,2022-03-10,425.48,SPY
109820.0,2022-03-11,420.07,SPY
109820.0,2022-03-14,417.0,SPY
109820.0,2022-03-15,426.17,SPY
109820.0,2022-03-16,435.62,SPY
109820.0,2022-03-17,441.07,SPY
109820.0,2022-03-18,444.52,SPY
109820.0,2022-03-21,444.39,SPY
109820.0,2022-03-22,449.59,SPY
109820.0,2022-03-23,443.8,SPY
109820.0,2022-03-24,450.49,SPY
109820.0,2022-03-25,452.69,SPY
109820.0,2022-03-28,455.91,SPY
