date,sigma_basket,n_constituents,missing_constituents
2022-03-29,0.17171767298765617,13,7
2022-03-30,0.17637418887050196,13,7
2022-03-31,0.1753059487280216,13,7
2022-04-01,0.16940420623196423,13,7
2022-04-04,0.17154342241792003,13,7
2022-04-05,0.17053051488496526,13,7
2022-04-06,0.17805206521175265,13,7
2022-04-07,0.18088788474873715,13,7
2022-04-08,0.18266235549105506,13,7
2022-04-11,0.1890772443097354,13,7
2022-04-12,0.18647438516364465,13,7
2022-04-13,0.18555255041724827,13,7
2022-04-14,0.17409848492210925,13,7
2022-04-18,0.1852490070154009,13,7
2022-04-19,0.17915834273188702,13,7
2022-04-20,0.18349419201351985,13,7
2022-04-21,0.18025017320760758,13,7
2022-04-22,0.18606861146631243,13,7
2022-04-25,0.18635526051937018,13,7
2022-04-26,0.18919063598272462,13,7
2022-04-27,0.18357046954942063,13,7
2022-04-28,0.1841276551873787,13,7
2022-04-29,0.18579720873094333,13,7
2022-05-02,0.18485238010105276,13,7
2022-05-03,0.18186767227706876,13,7
2022-05-04,0.1835831754076127,13,7
2022-05-05,0.18884687725678342,13,7
2022-05-06,0.19249278285313634,13,7
2022-05-09,0.2008863642529623,13,7
2022-05-10,0.20769122448102487,13,7
2022-05-11,0.20918336854529734,13,7
2022-05-12,0.2087971842131387,13,7
2022-05-13,0.21013021943579924,13,7
2022-05-16,0.21102704173481074,13,7
2022-05-17,0.20850884710739653,13,7
2022-05-18,0.2137145331284299,13,7
2022-05-19,0.21417459547056994,13,7
2022-05-20,0.22214465225602872,13,7
2022-05-23,0.21984433341004783,13,7
2022-05-24,0.21989913246768497,13,7
2022-05-25,0.22020549142871276,13,7
2022-05-26,0.22053535482450315,13,7
2022-05-27,0.22200012115846388,13,7
2022-05-31,0.22669744019852758,13,7
2022-06-01,0.22169895167154222,13,7
2022-06-02,0.22146921785240045,13,7
2022-06-03,0.22732029922601243,13,7
2022-06-06,0.224306645153116,13,7
2022-06-07,0.22309176774987105,13,7
2022-06-08,0.22321508184442626,13,7
2022-06-09,0.23027694998687168,13,7
2022-06-10,0.23576259214841003,13,7
2022-06-13,0.25026505618367817,13,7
2022-06-14,0.24589311749842852,13,7
2022-06-15,0.24918956366542344,13,7
2022-06-16,0.251218264713055,13,7
2022-06-17,0.2517187182242744,13,7
2022-06-21,0.2566044691965502,13,7
2022-06-22,0.24963839360170195,13,7
2022-06-23,0.2522199934904428,13,7
2022-06-24,0.2545312583320703,13,7
2022-06-27,0.2537170528330313,13,7
2022-06-28,0.2585341366560904,13,7
2022-06-29,0.2561170745782368,13,7
2022-06-30,0.25781914973210324,13,7
2022-07-01,0.26101468931439337,13,7
2022-07-05,0.26356779356584403,13,7
2022-07-06,0.2569569057249614,13,7
2022-07-07,0.2581883903770339,13,7
2022-07-08,0.2538822845978882,13,7
2022-07-11,0.25071890474167235,13,7
2022-07-12,0.25288564146420384,13,7
2022-07-13,0.2535689206031889,13,7
2022-07-14,0.2532466557039335,13,7
2022-07-15,0.2536590650485712,13,7
