date,sigma_basket,n_constituents,missing_constituents
2022-03-29,0.2704361956724237,22,3
2022-03-30,0.27616254619415614,22,3
2022-03-31,0.2850253323862502,22,3
2022-04-01,0.28328285132070813,22,3
2022-04-04,0.2736651027157622,22,3
2022-04-05,0.2925856832916484,22,3
2022-04-06,0.3073954324398174,22,3
2022-04-07,0.3047517673850984,22,3
2022-04-08,0.3054457535780944,22,3
2022-04-11,0.32054125992038984,22,3
2022-04-12,0.31718952934640754,22,3
2022-04-13,0.30234357924788485,22,3
2022-04-14,0.3078172686262529,22,3
2022-04-18,0.31256693852196,22,3
2022-04-19,0.3061489224140913,22,3
2022-04-20,0.30404995213876945,22,3
2022-04-21,0.3127341211659996,22,3
2022-04-22,0.3303669607338674,22,3
2022-04-25,0.33630710739149017,22,3
2022-04-26,0.3556498702780185,22,3
2022-04-27,0.34136996810291104,22,3
2022-04-28,0.3330878703862169,22,3
2022-04-29,0.3491532928720547,22,3
2022-05-02,0.34392573087762274,22,3
2022-05-03,0.3411613137738433,22,3
2022-05-04,0.3254596321619971,22,3
2022-05-05,0.35402965714091306,22,3
2022-05-06,0.3505303164806575,22,3
2022-05-09,0.3657193834931091,22,3
2022-05-10,0.36048696754057163,22,3
2022-05-11,0.3667884777299876,22,3
2022-05-12,0.3621941258350161,22,3
2022-05-13,0.35440949782342523,22,3
2022-05-16,0.3556869757204492,22,3
2022-05-17,0.3384530301901783,22,3
2022-05-18,0.3654361117613823,22,3
2022-05-19,0.35304938778370365,22,3
2022-05-20,0.3473580749534883,22,3
2022-05-23,0.345952171519685,22,3
2022-05-24,0.3533612237005538,22,3
2022-05-25,0.3495768446269905,22,3
2022-05-26,0.3383911580661196,22,3
2022-05-27,0.3238817575960495,22,3
2022-05-31,0.33525586430630294,22,3
2022-06-01,0.3289321355800146,22,3
2022-06-02,0.31913087649173766,22,3
2022-06-03,0.3253585623641638,22,3
2022-06-06,0.32256152635574353,22,3
2022-06-07,0.31634053373615845,22,3
2022-06-08,0.31527229903738363,22,3
2022-06-09,0.3275143090033436,22,3
2022-06-10,0.3388842262239644,22,3
2022-06-13,0.3647937818614055,22,3
2022-06-14,0.35839071357784835,22,3
2022-06-15,0.3445487995763281,22,3
2022-06-16,0.36390789061293755,22,3
2022-06-17,0.3540893485836023,22,3
2022-06-21,0.347066558361366,22,3
2022-06-22,0.34965214098708164,22,3
2022-06-23,0.35419958911494626,22,3
2022-06-24,0.3446860865822315,22,3
2022-06-27,0.34797845153500034,22,3
2022-06-28,0.3588773476075149,22,3
2022-06-29,0.3568958266717234,22,3
2022-06-30,0.3586824775117785,22,3
2022-07-01,0.3516117116140324,22,3
2022-07-05,0.35399814225153287,22,3
2022-07-06,0.3505131029712242,22,3
2022-07-07,0.34148051734260937,22,3
2022-07-08,0.3363862118582287,22,3
2022-07-11,0.34822429685968953,22,3
2022-07-12,0.3516168962310326,22,3
2022-07-13,0.35348234134239853,22,3
2022-07-14,0.34764050494659754,22,3
2022-07-15,0.33544589502482464,22,3
2022-07-18,0.34764175502723854,22,3
2022-07-19,0.34540641677629963,22,3
2022-07-20,0.3356864970854289,22,3
2022-07-21,0.33234073415171816,22,3
2022-07-22,0.3364109650213938,22,3
2022-07-25,0.34439575621847135,22,3
2022-07-26,0.3533654449853454,22,3
2022-07-27,0.3320279576959132,22,3
