ticker,liquidity_tier,n_trades,n_active_days,avg_spread,spread_std,total_pnl_gross,total_pnl_net,total_txn_cost,sharpe_net,max_drawdown,sharpe_2022,sharpe_2023_24
SPY,1,17,254,0.005949996381585086,0.01665201485951809,3517.643472917359,1403.3598217408235,2114.2836511765386,0.11090522819165877,-5745.800593078506,-0.20161129970496777,0.14692399014014348
XBI,3,9,182,0.2011647793479415,0.04958024123127655,3659.3776424154607,-5978.490416051337,9637.868058466796,-0.2057495358478938,-13604.552866687567,-0.24517174368425992,-0.195616412991502
XLK,2,16,266,0.012998781919541026,0.027986083078969878,2245.843753847104,-9547.756822603724,11793.600576450837,-0.18340970020129982,-16659.175531175075,0.014070436363775978,-0.22248422046220914
